"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Macedonia, FYR","MKD","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64599990844727","3.56100010871887","2.50200009346008","2.62800002098084","2.64800000190735","2.81599998474121","3.51399993896484","3.6710000038147","3.5090000629425","2.35999989509583","1.68900001049042","1.98199999332428","2.36899995803833","2.30699992179871","2.06299996376038","2.08500003814697","2.0239999294281","1.95700001716614","1.44799995422363","1.83500003814697","1.76199996471405","1.51300001144409","1.85199999809265","1.95000004768372","1.94500005245209","2.04699993133545","1.99500000476837",
"Macedonia, FYR","MKD","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94900000095367","2.49499988555908","1.8639999628067","2.05100011825562","2.07800006866455","2.20799994468689","2.56900000572205","2.68700003623962","2.58400011062622","1.932000041008","1.43900001049042","1.66999995708466","1.91299998760223","1.90499997138977","1.71200001239777","1.70500004291534","1.66400003433228","1.64999997615814","1.26400005817413","1.52400004863739","1.44700002670288","1.27100002765656","1.50899994373322","1.57099997997284","1.55299997329712","1.57200002670288","1.48000001907349",
"Macedonia, FYR","MKD","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80800008773804","5.33599996566772","3.55800008773804","3.59200000762939","3.61400008201599","3.86299991607666","5.1560001373291","5.36499977111816","5.02699995040894","3.08400011062622","2.09400010108948","2.46499991416931","3.04800009727478","2.94099998474121","2.60700011253357","2.69600009918213","2.57999992370605","2.44199991226196","1.74600005149841","2.32999992370605","2.24000000953674","1.88199996948242","2.36700010299683","2.53699994087219","2.53500008583069","2.78200006484985","2.79699993133545",
"Macedonia, FYR","MKD","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.51","","","","","72.74","","","","","","",
"Macedonia, FYR","MKD","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.35","","","","","73.52","","","","","","",
"Macedonia, FYR","MKD","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.1","","","","","71.78","","","","","","",
"Macedonia, FYR","MKD","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0279998779297","77.6729965209961","78.8000030517578","75.9130020141602","75.6019973754883","74.8320007324219","76.0059967041016","75.1480026245117","74.7890014648438","73.0410003662109","74.875","73.3759994506836","73.7919998168945","72.443000793457","72.7990036010742","73.1959991455078","72.5660018920898","71.5759963989258","73.0709991455078","73.0660018920898","73.8740005493164","74.4000015258789","73.6790008544922","73.6009979248047","73.7679977416992","75.2190017700195","77.1019973754883",
"Macedonia, FYR","MKD","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.1640014648438","76.9660034179688","76.4609985351563","73.0780029296875","72.7070007324219","71.9420013427734","74.0289993286133","73.177001953125","72.4850006103516","69.2369995117188","70.6169967651367","69.0210037231445","70.0230026245117","68.5080032348633","68.3929977416992","68.9909973144531","68.1129989624023","67.515998840332","68.6790008544922","69.0599975585938","69.7369995117188","70.0650024414063","69.7170028686523","69.9440002441406","70.0770034790039","71.9229965209961","74.129997253418",
"Macedonia, FYR","MKD","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1340026855469","78.8529968261719","82.6729965209961","80.6510009765625","80.5100021362305","79.8030014038086","79.4390029907227","78.5429992675781","78.5660018920898","79.4769973754883","81.7750015258789","80.1419982910156","79.4130020141602","78.640998840332","79.6070022583008","79.9649963378906","79.4530029296875","78.0019989013672","80.1729965209961","79.4420013427734","80.1480026245117","80.9990005493164","79.6169967651367","79.2699966430664","79.3109970092773","80.3209991455078","81.7269973754883",
"Macedonia, FYR","MKD","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3889999389649","19.0330002307892","18.9719994068146","22.0190007686615","22.3560001850128","23.0900001525879","21.462999343872","22.2740006446838","22.7569992542267","25.172000169754","23.6260002851486","25.0549999475479","24.3860001564026","25.7759997844696","25.5629999637604","25.0950002670288","25.7550008296967","26.6410000324249","25.3889999389648","25.1500005722046","24.3709992170334","23.9799990653992","24.4760005474091","24.4229996204376","24.2330001592636","22.612000465393","20.6060000658036",
